,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,_timestamp
0,mix_strict_loose,valid_f1,0.30573527424730357,0.39580725308119785,0.39745752792537264,0.37945322989313424,20250326 18:43:40
3,curriculum_strict_loose,valid_f1,0.2976075353028166,0.3848051668136218,0.3953375644795364,0.3808730430842132,20250327 01:53:05
9,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.016965080552815967,0.4718042414438041,0.5239281473179612,0.31438943445167705,20250405 15:32:50
10,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.18852616292960364,0.34099174899081935,0.3969371602830361,0.4048809470660123,20250405 16:09:17
11,cnc_highlight,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,20250407 18:38:06
12,strict,valid_f1,0.017957871633493924,0.4791328667854615,0.522602308974829,0.2951858746574343,20250407 19:51:51
15,naive,valid_f1,0.25647633885112825,0.48431651353074673,0.45032668902261463,0.4269468349267237,20250407 20:32:30
18,loose,valid_f1,0.2134384071915525,0.4214139909287715,0.43655076464743553,0.4019404665264866,20250407 21:20:04
21,complex,valid_f1,0.23787213840746388,0.5818564810869316,0.5901422709222477,0.38235054047167744,20250407 22:01:24
24,harsh,valid_f1,0.23637300351918797,0.5630445023717333,0.5797084212551766,0.38500689971924945,20250407 22:27:36
27,iterate_strict-naive,valid_f1,0.008914578750208488,0.4875300957005621,0.5095540353155634,0.2997793808674369,20250407 23:00:19
28,iterate_strict-naive,valid_f1,0.375847821505105,0.3690853363717049,0.4522897875653871,0.3810248562140757,20250407 23:29:36
29,curriculum_strict-naive,valid_f1,0.29945310637224515,0.4424921203642838,0.4967834221940371,0.3386584792644281,20250408 00:22:29
30,iterate_strict-naive,valid_f1,0.03164554329301878,0.4625100525164894,0.5339253027458727,0.3447403161783107,20250408 00:37:51
33,iterate_strict-naive,valid_f1,0.019537791400002984,0.46058203752514504,0.5297874427752898,0.3147177895749865,20250408 01:52:21
36,iterate_strict-loose,valid_f1,0.011229607226551409,0.4656590148611271,0.5002335569445832,0.31773437597347715,20250408 02:59:10
37,iterate_strict-loose,valid_f1,0.21090501816135732,0.3276914330427115,0.425894917266126,0.4154521453519471,20250408 03:34:07
38,curriculum_strict-loose,valid_f1,0.31309798272283096,0.37345586421581994,0.4555843799554327,0.38735164570045033,20250408 04:13:16
39,iterate_strict-loose,valid_f1,0.007714417473824085,0.4369653025444782,0.5240929630537918,0.2903714648375584,20250408 04:29:56
42,iterate_strict-loose,valid_f1,0.025315592679551708,0.4884596623302825,0.510887690333348,0.3323521361432117,20250408 05:40:10
45,iterate_naive-strict,valid_f1,0.27874717845039176,0.47216593554189623,0.4272513080509641,0.3975404773080779,20250408 08:36:38
46,iterate_naive-strict,valid_f1,0.3035497706529506,0.4517107724849027,0.5223549558103172,0.3419481099623991,20250408 08:43:48
47,curriculum_naive-strict,valid_f1,0.3942386233809861,0.3558793408717596,0.4249820759722012,0.39154082453201694,20250408 09:13:43
48,iterate_naive-strict,valid_f1,0.21394620155539087,0.4583361847733813,0.485182384649069,0.4287843076196806,20250408 09:33:51
51,iterate_naive-strict,valid_f1,0.2803942468072326,0.4622692730921139,0.5251159005113611,0.43944582040920566,20250408 13:07:05
54,iterate_naive-loose,valid_f1,0.1465630907431655,0.4265588079039496,0.5113428761541418,0.4365762678635075,20250408 14:01:29
55,iterate_naive-loose,valid_f1,0.18170962940320584,0.33812765409279716,0.39254459205312264,0.3945038038540108,20250408 14:48:00
56,curriculum_naive-loose,valid_f1,0.31496703198925846,0.3512656145669174,0.4270172697672504,0.3977892010095481,20250408 15:46:09
57,iterate_naive-loose,valid_f1,0.20810853504122967,0.41966907731579695,0.5024370971085979,0.4432651518160936,20250408 16:06:50
60,cnc_highlighter_inference,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,20250408 19:19:30
61,bert_inference,valid_f1,0.39428131947402734,0.4191335021130148,0.3931582711939349,0.3929279352074831,20250408 19:27:56
62,cnc_train_strict,valid_f1,0.04650272112372104,0.4773626157563518,0.5581224818902444,0.36644902094546106,20250408 19:47:37
65,cnc_train_naive,valid_f1,0.13269725718969608,0.46789449971358815,0.5127065000535689,0.4487616524089056,20250408 21:01:24
68,cnc_train_loose,valid_f1,0.10429265782913238,0.3558960435825216,0.4570481616021203,0.41586269830273864,20250408 22:30:33
71,iterate_naive-loose,valid_f1,0.1573346568770241,0.4102257646607627,0.4979970908328141,0.4156383427542157,20250408 23:03:56
74,cnc_train_complex,valid_f1,0.2727104486488679,0.5682053994405816,0.5775840190667685,0.36851176307722766,20250408 23:27:06
78,cnc_train_harsh,valid_f1,0.20747930562924427,0.5881132335771653,0.6410013604161887,0.42877497004248377,20250409 00:15:08
82,iterate_loose-strict,valid_f1,0.16690104905802128,0.4080683080285717,0.44897457660774587,0.41731916301522687,20250409 02:34:29
83,iterate_loose-strict,valid_f1,0.28215743085960127,0.4712381826295249,0.48246972264905646,0.36760111664797873,20250409 02:44:38
84,curriculum_loose-strict,valid_f1,0.32412771221666303,0.30384888253191544,0.38599979878208845,0.4140198121695806,20250409 03:18:47
86,iterate_loose-strict,valid_f1,0.16625260339508263,0.39726691550169574,0.45645060509540913,0.4133685387022139,20250409 03:47:25
90,iterate_loose-strict,valid_f1,0.1517861438855587,0.4071932466483282,0.4573769019097421,0.44684367056129254,20250409 04:49:32
94,iterate_loose-naive,valid_f1,0.20888577305796385,0.46717083725659286,0.4420835764529325,0.37273426470761595,20250409 06:19:30
95,iterate_loose-naive,valid_f1,0.36110968686861494,0.3728529612727019,0.4216343949725667,0.3668522396661541,20250409 06:49:06
96,curriculum_loose-naive,valid_f1,0.28417043957995963,0.3331410836508389,0.3834938841401032,0.4104789866993969,20250409 07:50:56
98,iterate_loose-naive,valid_f1,0.1317326293057371,0.3985679219156136,0.4323998114312312,0.39194991874236546,20250409 08:24:57
102,iterate_loose-naive,valid_f1,0.21803982057020252,0.4046683729431454,0.48215831745240495,0.40109438996000785,20250409 09:36:12
106,cnc_highlighter_inference,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,20250409 10:44:29
107,bert_inference,valid_f1,0.3558312322292626,0.3470548180204287,0.3430597974159725,0.35283021232612183,20250409 10:52:57
108,cnc_train_strict,valid_f1,0.16174079174321032,0.4628668579788788,0.5322814055078957,0.3156720540800547,20250409 11:03:34
111,cnc_train_naive,valid_f1,0.22061562263286763,0.45471364790724417,0.5335036456307996,0.4570372884970664,20250409 11:40:35
114,cnc_train_loose,valid_f1,0.16587547544082662,0.4251934269852743,0.48643433273481146,0.4661372926713397,20250409 12:38:48
117,cnc_train_complex,valid_f1,0.25621796745708053,0.5665836647930718,0.6122703093392261,0.3831625527203644,20250409 13:28:53
120,cnc_train_harsh,valid_f1,0.0921714414137212,0.6053278245664767,0.6646507674580125,0.46319510211492976,20250409 14:07:35
123,strict,valid_f1,0.0030066967336340026,0.15101078439763208,0.14651227147033324,0.30727957970656733,20250425 07:03:50
126,naive,valid_f1,0.1488222441710255,0.4615787934813004,0.4844699565324628,0.4285796567198348,20250425 08:50:45
129,loose,valid_f1,0.2473357371196,0.21636594574749793,0.31685739724618206,0.4136307751394686,20250425 09:40:35
132,complex,valid_f1,0.06589216907190455,0.39046374072277545,0.37410122949052543,0.4098404833052428,20250425 10:32:36
135,harsh,valid_f1,0.09886490846477188,0.3629962779259811,0.3755991123237156,0.4272337575118997,20250425 11:01:58
138,cnc_train_strict,valid_f1,0.01487347476417137,0.15632356872055694,0.1943542568361373,0.3683696530772751,20250425 11:36:29
141,cnc_train_naive,valid_f1,0.033424850984349774,0.45833195275564587,0.5143948802107864,0.48219709487929874,20250425 12:40:11
142,strict,valid_f1,0.07457409645151587,0.15787908733731232,0.1835562152453785,0.31512786432192713,20250430 03:38:26
145,naive,valid_f1,0.1487828561281305,0.42555827138369023,0.5006500561408367,0.45481669247897377,20250430 04:14:29
148,loose,valid_f1,0.24651920143450995,0.24265108029844404,0.3167475537515916,0.3977151419261546,20250430 05:08:43
151,complex,valid_f1,0.1585491240102034,0.3597743134021066,0.3242286904016853,0.4011705328383301,20250430 05:52:40
154,harsh,valid_f1,0.08590606361789166,0.41902192555296863,0.3477375433155252,0.4300416146046526,20250430 06:24:12
157,cnc_train_strict,valid_f1,0.008490775577541177,0.16468746111845176,0.16789578022828827,0.3644606096445493,20250430 07:02:13
160,cnc_train_naive,valid_f1,0.23478676316778263,0.4320488743893546,0.5241276249640493,0.4651029639080274,20250430 07:49:15
163,cnc_train_loose,valid_f1,0.24718814880012752,0.19558135229541093,0.2855293831546358,0.38509902739281754,20250430 08:46:35
166,cnc_train_complex,valid_f1,0.11085888024813582,0.3480333876754198,0.3412693833691292,0.4191439831996187,20250430 09:43:16
169,cnc_train_harsh,valid_f1,0.09301954123776614,0.4181301975015856,0.34042142630337013,0.4656476746395303,20250430 10:20:23
